target,dependency,importance,strategy
LIT401,FIT504,0.027642996343593143,entire_plant
LIT401,FIT301,0.027334891648447525,entire_plant
LIT401,AIT502,0.025988369670773084,entire_plant
LIT401,AIT201,0.018538207401293368,entire_plant
LIT401,AIT503,0.01831201980213275,entire_plant
AIT501,AIT201,0.6222018951337369,entire_plant
AIT501,AIT203,0.1246539724954986,entire_plant
AIT501,LIT401,0.07704176024457259,entire_plant
AIT501,AIT402,0.056731298405024666,entire_plant
AIT501,AIT502,0.04318416673791728,entire_plant
AIT501,FIT501,0.014331262696930051,entire_plant
AIT501,PIT501,0.01150498113742799,entire_plant
AIT501,PIT502,0.008196759237848263,entire_plant
AIT501,LIT101,0.008055040716715147,entire_plant
AIT501,FIT503,0.00649173326217209,entire_plant
AIT502,AIT402,0.8709504461726602,entire_plant
AIT502,AIT501,0.02947925362089828,entire_plant
AIT502,AIT504,0.02020282321132332,entire_plant
AIT502,AIT201,0.01598297081993103,entire_plant
AIT502,DPIT301,0.010432740763818466,entire_plant
AIT502,FIT401,0.00833781896809676,entire_plant
AIT502,LIT401,0.006336512837941152,entire_plant
AIT502,LIT101,0.005742406841734988,entire_plant
AIT502,AIT202,0.004646706209299746,entire_plant
AIT502,FIT502,0.0043148349325779186,entire_plant
AIT503,AIT504,0.29899755697815783,entire_plant
AIT503,P201,0.24150793459918513,entire_plant
AIT503,AIT202,0.171722871911205,entire_plant
AIT503,AIT201,0.051942630837337564,entire_plant
AIT503,LIT301,0.03696525835891725,entire_plant
AIT503,FIT503,0.03639412003628235,entire_plant
AIT503,PIT503,0.0251519962245105,entire_plant
AIT503,AIT501,0.02410146485606845,entire_plant
AIT503,LIT401,0.018894007131483027,entire_plant
AIT503,AIT203,0.016828044843891672,entire_plant
AIT504,P403,0.6139450742524806,entire_plant
AIT504,AIT201,0.1245118098166005,entire_plant
AIT504,AIT503,0.044729093840673334,entire_plant
AIT504,PIT501,0.037840340720221605,entire_plant
AIT504,FIT301,0.03106451158467439,entire_plant
AIT504,FIT401,0.029901923999507588,entire_plant
AIT504,LIT401,0.02289504158739316,entire_plant
AIT504,AIT402,0.01896420351288815,entire_plant
AIT504,LIT101,0.017128258340057864,entire_plant
AIT504,PIT503,0.014802060111851928,entire_plant
FIT501,PIT503,0.1550810496294537,entire_plant
FIT501,FIT503,0.14800732513147882,entire_plant
FIT501,PIT501,0.1399340036037984,entire_plant
FIT501,P402,0.12973451832038713,entire_plant
FIT501,LIT401,0.11170467845069436,entire_plant
FIT501,FIT401,0.10055993807877785,entire_plant
FIT501,AIT501,0.0989818296443302,entire_plant
FIT501,FIT502,0.05400018831120716,entire_plant
FIT501,FIT504,0.030799629032284295,entire_plant
FIT501,AIT402,0.017044101283223506,entire_plant
FIT502,FIT501,0.18501653504732068,entire_plant
FIT502,AIT501,0.0915068118920032,entire_plant
FIT502,PIT501,0.09018781610744676,entire_plant
FIT502,AIT402,0.08750863125484518,entire_plant
FIT502,P402,0.07833984762501071,entire_plant
FIT502,PIT503,0.07678260673467491,entire_plant
FIT502,FIT503,0.0748820545042822,entire_plant
FIT502,LIT401,0.07316152569066023,entire_plant
FIT502,FIT401,0.023040753790378385,entire_plant
FIT502,LIT101,0.01755938373327377,entire_plant
FIT503,PIT503,0.25706765445034474,entire_plant
FIT503,FIT504,0.22922860935847272,entire_plant
FIT503,PIT501,0.19460342074894924,entire_plant
FIT503,FIT501,0.12401076596745059,entire_plant
FIT503,PIT502,0.06219423917210354,entire_plant
FIT503,FIT401,0.03543862289605909,entire_plant
FIT503,FIT502,0.020482430109736213,entire_plant
FIT503,AIT401,0.01525653720919003,entire_plant
FIT503,AIT203,0.008818838420245438,entire_plant
FIT503,AIT503,0.008505863316078615,entire_plant
FIT504,FIT503,0.47639658569894,entire_plant
FIT504,PIT501,0.14897820066263898,entire_plant
FIT504,PIT503,0.14747297647155072,entire_plant
FIT504,FIT501,0.1189025066293926,entire_plant
FIT504,FIT401,0.05844939195855022,entire_plant
FIT504,PIT502,0.022522627101946278,entire_plant
FIT504,FIT502,0.011410111863005513,entire_plant
FIT504,AIT201,0.0025344316312776254,entire_plant
FIT504,UV401,0.0016285235793950634,entire_plant
FIT504,AIT402,0.0013547114214759602,entire_plant
PIT501,PIT503,0.31435400323575097,entire_plant
PIT501,FIT503,0.1371995586567943,entire_plant
PIT501,AIT402,0.12529525457118595,entire_plant
PIT501,P402,0.08046892141995726,entire_plant
PIT501,AIT501,0.07684858153666135,entire_plant
PIT501,LIT401,0.07559701062328876,entire_plant
PIT501,FIT502,0.057192429153030584,entire_plant
PIT501,FIT501,0.04907921188750817,entire_plant
PIT501,PIT502,0.036985625651435934,entire_plant
PIT501,FIT504,0.024711513901403175,entire_plant
