source,target,score
MV101,LIT101,1043.5335000000014
MV101,LIT301,557.7153999999998
MV101,LIT401,469.2249
P101,LIT301,1026.883799999997
P101,LIT401,507.1393000000002
P101,LIT101,395.3538999999996
P102,LIT101,13.69909999999993
P102,LIT301,9.453299999999672
P102,LIT401,3.845100000000002
