feature,importance
LIT101_lag1,0.9997575657903123
LIT101_lag10,7.545315182629783e-05
LIT101_lag5,6.195620011034742e-05
MV101,3.354091623000356e-05
FIT101,3.300694025295055e-05
FIT101_lag1,1.5796779557792948e-05
FIT101_lag5,1.4994021762662792e-05
P101,7.686199947657802e-06
